filterSize,DSPCount
85,10
87,10
94,11
96,11
97,11
101,12
117,13
119,13
126,14
127,14
131,15
133,15
138,15
142,16
148,16
153,17
160,17
164,18
167,18
174,19
187,20
191,21
192,21
194,21
195,21
202,22
203,22
212,23
213,23
215,23
218,23
224,24
230,24
246,26
249,26
250,26
259,27
275,29
276,29
278,29
314,33
318,33
341,36
342,36
345,36
371,39
377,39
383,40
413,43
415,43
421,44
461,48
506,52
533,55
551,57
564,58
613,63
619,63
676,69
686,70
762,78
798,81
75,9
77,9
85,10
98,11
102,12
104,12
112,13
118,13
130,14
132,15
141,16
143,16
152,17
154,17
155,17
159,17
160,17
162,18
163,18
168,18
170,18
171,19
172,19
175,19
179,19
181,20
185,20
186,20
187,20
197,21
204,22
208,22
209,22
215,23
229,24
230,24
242,26
253,27
256,27
269,28
272,29
274,29
285,30
292,31
299,31
321,34
343,36
369,38
401,42
403,42
412,43
449,46
452,47
454,47
478,49
637,65
675,69
742,76
796,81
62,8
67,8
69,8
77,9
86,10
95,11
105,12
106,12
107,12
108,12
112,13
114,13
115,13
119,13
120,13
122,14
124,14
127,14
128,14
130,14
133,15
138,15
139,15
140,15
141,16
145,16
146,16
149,16
151,17
152,17
155,17
163,18
168,18
173,19
183,20
197,21
211,23
221,24
223,24
227,24
231,25
232,25
239,25
256,27
271,29
278,29
282,30
295,31
310,32
319,33
331,35
341,36
367,38
369,38
423,44
488,50
513,53
550,56
624,64
86,10
105,12
113,13
126,14
140,15
146,16
157,17
175,19
179,19
185,20
194,21
201,22
247,26
252,27
254,27
278,29
303,32
331,35
376,39
384,40
494,51
498,51
556,57
576,59
727,74
