abs(H),w
0.00099996,0.63811
0.00099984,0.64789
0.00099964,0.65768
0.00099936,0.66747
0.00099901,0.67725
0.00099857,0.68704
0.00099805,0.69683
0.00099746,0.70661
0.00099678,0.7164
0.00099603,0.72619
0.00099519,0.73597
0.00099428,0.74576
0.00099328,0.75555
0.00099221,0.76534
0.00099105,0.77512
0.00098981,0.78491
0.00098849,0.7947
0.0009871,0.80448
0.00098562,0.81427
0.00098406,0.82406
0.00098241,0.83384
0.00098069,0.84363
0.00097888,0.85342
0.000977,0.8632
0.00097503,0.87299
0.00097297,0.88278
0.00097084,0.89256
0.00096862,0.90235
0.00096631,0.91214
0.00096393,0.92193
0.00096146,0.93171
0.0009589,0.9415
0.00095626,0.95129
0.00095354,0.96107
0.00095073,0.97086
0.00094783,0.98065
0.00094485,0.99043
0.00094178,1.0002
0.00093862,1.01
0.00093538,1.0198
0.00093204,1.0296
0.00092862,1.0394
0.00092511,1.0492
0.00092152,1.0589
0.00091783,1.0687
0.00091405,1.0785
0.00091018,1.0883
0.00090622,1.0981
0.00090217,1.1079
0.00089802,1.1177
0.00089378,1.1275
0.00088945,1.1372
0.00088503,1.147
0.00088051,1.1568
0.00087589,1.1666
0.00087118,1.1764
0.00086637,1.1862
0.00086147,1.196
0.00085647,1.2057
0.00085137,1.2155
0.00084617,1.2253
0.00084087,1.2351
0.00083547,1.2449
0.00082997,1.2547
0.00082436,1.2645
0.00081866,1.2743
0.00081285,1.284
0.00080694,1.2938
0.00080092,1.3036
0.00079479,1.3134
0.00078856,1.3232
0.00078223,1.333
0.00077578,1.3428
0.00076923,1.3525
0.00076256,1.3623
0.00075579,1.3721
0.0007489,1.3819
0.0007419,1.3917
0.00073479,1.4015
0.00072756,1.4113
0.00072022,1.4211
0.00071277,1.4308
0.00070519,1.4406
0.0006975,1.4504
0.00068969,1.4602
0.00068176,1.47
0.00067371,1.4798
0.00066553,1.4896
0.00065723,1.4994
0.00064881,1.5091
0.00064027,1.5189
0.0006316,1.5287
0.0006228,1.5385
0.00061387,1.5483
0.00060482,1.5581
0.00059563,1.5679
0.00058631,1.5776
0.00057686,1.5874
0.00056728,1.5972
0.00055757,1.607
0.00054771,1.6168
0.00053772,1.6266
0.0005276,1.6364
0.00051733,1.6462
0.00050692,1.6559
0.00049638,1.6657
0.00048569,1.6755
0.00047486,1.6853
0.00046388,1.6951
0.00045276,1.7049
0.00044149,1.7147
0.00043007,1.7245
0.00041851,1.7342
0.00040679,1.744
0.00039493,1.7538
0.00038291,1.7636
0.00037074,1.7734
0.00035842,1.7832
0.00034594,1.793
0.00033331,1.8027
0.00032052,1.8125
0.00030757,1.8223
0.00029446,1.8321
0.0002812,1.8419
0.00026777,1.8517
0.00025418,1.8615
0.00024044,1.8713
0.00022653,1.881
0.00021245,1.8908
0.00019822,1.9006
0.00018382,1.9104
0.00016926,1.9202
0.00015453,1.93
0.00013964,1.9398
0.00012458,1.9495
0.00010936,1.9593
9.397e-05,1.9691
7.8418e-05,1.9789
6.2701e-05,1.9887
4.6821e-05,1.9985
3.0776e-05,2.0083
1.4568e-05,2.0181
1.8023e-06,2.0278
1.8334e-05,2.0376
3.5026e-05,2.0474
5.1878e-05,2.0572
6.8887e-05,2.067
8.6052e-05,2.0768
0.00010337,2.0866
0.00012084,2.0964
0.00013846,2.1061
0.00015623,2.1159
0.00017414,2.1257
0.0001922,2.1355
0.00021039,2.1453
0.00022871,2.1551
0.00024716,2.1649
0.00026574,2.1746
0.00028444,2.1844
0.00030325,2.1942
0.00032217,2.204
0.00034119,2.2138
0.00036031,2.2236
0.00037951,2.2334
0.00039879,2.2432
0.00041814,2.2529
0.00043756,2.2627
0.00045702,2.2725
0.00047652,2.2823
0.00049605,2.2921
0.0005156,2.3019
0.00053515,2.3117
0.00055468,2.3215
0.00057418,2.3312
0.00059364,2.341
0.00061304,2.3508
0.00063235,2.3606
0.00065156,2.3704
0.00067064,2.3802
0.00068958,2.39
0.00070834,2.3997
0.0007269,2.4095
0.00074523,2.4193
0.00076329,2.4291
0.00078107,2.4389
0.00079852,2.4487
0.0008156,2.4585
0.00083228,2.4683
0.00084851,2.478
0.00086425,2.4878
0.00087945,2.4976
0.00089406,2.5074
0.00090802,2.5172
0.00092128,2.527
0.00093377,2.5368
0.00094543,2.5465
0.00095619,2.5563
0.00096598,2.5661
0.00097472,2.5759
0.00098231,2.5857
0.00098868,2.5955
0.00099374,2.6053
0.00099737,2.6151
0.00099948,2.6248
0.00099996,2.6346
0.00099868,2.6444
0.00099553,2.6542
0.00099037,2.664
0.00098306,2.6738
0.00097346,2.6836
0.00096142,2.6934
0.00094679,2.7031
0.00092939,2.7129
0.00090905,2.7227
0.00088559,2.7325
0.00085884,2.7423
0.00082861,2.7521
0.0007947,2.7619
0.00075692,2.7716
0.00071508,2.7814
0.000669,2.7912
0.00061848,2.801
0.00056337,2.8108
0.0005035,2.8206
0.00043875,2.8304
0.00036901,2.8402
0.00029425,2.8499
0.00021446,2.8597
0.00012973,2.8695
4.0233e-05,2.8793
5.372e-05,2.8891
0.00015166,2.8989
0.00025293,2.9087
0.0003566,2.9185
0.0004614,2.9282
0.00056569,2.938
0.00066725,2.9478
0.00076324,2.9576
0.00084995,2.9674
0.0009226,2.9772
0.00097504,2.987
0.00099935,2.9967
0.00098536,3.0065
0.00091996,3.0163
0.00078622,3.0261
0.00056224,3.0359
0.00021956,3.0457
0.00027899,3.0555
0.00098224,3.0653
0.0019548,3.075
0.0032828,3.0848
0.0050823,3.0946
0.007511,3.1044
0.010787,3.1142
0.015213,3.124
0.021224,3.1338
0.029447,3.1436
0.040813,3.1533
0.056743,3.1631
0.079468,3.1729
0.11262,3.1827
0.16231,3.1925
0.23908,3.2023
0.36066,3.2121
0.54987,3.2218
0.79617,3.2316
0.97377,3.2414
0.9932,3.2512
0.94787,3.261
0.90955,3.2708
0.89257,3.2806
0.89408,3.2904
0.9086,3.3001
0.93061,3.3099
0.95488,3.3197
0.97667,3.3295
0.99224,3.3393
0.99951,3.3491
0.99827,3.3589
0.9899,3.3686
0.97661,3.3784
0.96079,3.3882
0.94448,3.398
0.92919,3.4078
0.91595,3.4176
0.90535,3.4274
0.89768,3.4372
0.893,3.4469
0.89127,3.4567
0.89231,3.4665
0.89592,3.4763
0.9018,3.4861
0.90964,3.4959
0.91907,3.5057
0.92968,3.5155
0.94101,3.5252
0.95256,3.535
0.96383,3.5448
0.97429,3.5546
0.98346,3.5644
0.9909,3.5742
0.99626,3.584
0.9993,3.5937
0.99993,3.6035
0.99819,3.6133
0.99424,3.6231
0.98834,3.6329
0.98086,3.6427
0.97217,3.6525
0.96269,3.6623
0.95281,3.672
0.94289,3.6818
0.93326,3.6916
0.92419,3.7014
0.91593,3.7112
0.90866,3.721
0.90253,3.7308
0.89765,3.7406
0.89411,3.7503
0.89197,3.7601
0.89125,3.7699
0.89125,3.7699
0.89197,3.7797
0.89411,3.7895
0.89765,3.7993
0.90253,3.8091
0.90866,3.8188
0.91593,3.8286
0.92419,3.8384
0.93326,3.8482
0.94289,3.858
0.95281,3.8678
0.96269,3.8776
0.97217,3.8874
0.98086,3.8971
0.98834,3.9069
0.99424,3.9167
0.99819,3.9265
0.99993,3.9363
0.9993,3.9461
0.99626,3.9559
0.9909,3.9656
0.98346,3.9754
0.97429,3.9852
0.96383,3.995
0.95256,4.0048
0.94101,4.0146
0.92968,4.0244
0.91907,4.0342
0.90964,4.0439
0.9018,4.0537
0.89592,4.0635
0.89231,4.0733
0.89127,4.0831
0.893,4.0929
0.89768,4.1027
0.90535,4.1125
0.91595,4.1222
0.92919,4.132
0.94448,4.1418
0.96079,4.1516
0.97661,4.1614
0.9899,4.1712
0.99827,4.181
0.99951,4.1907
0.99224,4.2005
0.97667,4.2103
0.95488,4.2201
0.93061,4.2299
0.9086,4.2397
0.89408,4.2495
0.89257,4.2593
0.90955,4.269
0.94787,4.2788
0.9932,4.2886
0.97377,4.2984
0.79617,4.3082
0.54987,4.318
0.36066,4.3278
0.23908,4.3376
0.16231,4.3473
0.11262,4.3571
0.079468,4.3669
0.056743,4.3767
0.040813,4.3865
0.029447,4.3963
0.021224,4.4061
0.015213,4.4158
0.010787,4.4256
0.007511,4.4354
0.0050823,4.4452
0.0032828,4.455
0.0019548,4.4648
0.00098224,4.4746
0.00027899,4.4844
0.00021956,4.4941
0.00056224,4.5039
0.00078622,4.5137
0.00091996,4.5235
0.00098536,4.5333
0.00099935,4.5431
0.00097504,4.5529
0.0009226,4.5626
0.00084995,4.5724
0.00076324,4.5822
0.00066725,4.592
0.00056569,4.6018
0.0004614,4.6116
0.0003566,4.6214
0.00025293,4.6312
0.00015166,4.6409
5.372e-05,4.6507
4.0233e-05,4.6605
0.00012973,4.6703
0.00021446,4.6801
0.00029425,4.6899
0.00036901,4.6997
0.00043875,4.7095
0.0005035,4.7192
0.00056337,4.729
0.00061848,4.7388
0.000669,4.7486
0.00071508,4.7584
0.00075692,4.7682
0.0007947,4.778
0.00082861,4.7877
0.00085884,4.7975
0.00088559,4.8073
0.00090905,4.8171
0.00092939,4.8269
0.00094679,4.8367
0.00096142,4.8465
0.00097346,4.8563
0.00098306,4.866
0.00099037,4.8758
0.00099553,4.8856
0.00099868,4.8954
0.00099996,4.9052
0.00099948,4.915
0.00099737,4.9248
0.00099374,4.9346
0.00098868,4.9443
0.00098231,4.9541
0.00097472,4.9639
0.00096598,4.9737
0.00095619,4.9835
0.00094543,4.9933
0.00093377,5.0031
0.00092128,5.0128
0.00090802,5.0226
0.00089406,5.0324
0.00087945,5.0422
0.00086425,5.052
0.00084851,5.0618
0.00083228,5.0716
0.0008156,5.0814
0.00079852,5.0911
0.00078107,5.1009
0.00076329,5.1107
0.00074523,5.1205
0.0007269,5.1303
0.00070834,5.1401
0.00068958,5.1499
0.00067064,5.1596
0.00065156,5.1694
0.00063235,5.1792
0.00061304,5.189
0.00059364,5.1988
0.00057418,5.2086
0.00055468,5.2184
0.00053515,5.2282
0.0005156,5.2379
0.00049605,5.2477
0.00047652,5.2575
0.00045702,5.2673
0.00043756,5.2771
0.00041814,5.2869
0.00039879,5.2967
0.00037951,5.3065
0.00036031,5.3162
0.00034119,5.326
0.00032217,5.3358
0.00030325,5.3456
0.00028444,5.3554
0.00026574,5.3652
0.00024716,5.375
0.00022871,5.3847
0.00021039,5.3945
0.0001922,5.4043
0.00017414,5.4141
0.00015623,5.4239
0.00013846,5.4337
0.00012084,5.4435
0.00010337,5.4533
8.6052e-05,5.463
6.8887e-05,5.4728
5.1878e-05,5.4826
3.5026e-05,5.4924
1.8334e-05,5.5022
1.8023e-06,5.512
1.4568e-05,5.5218
3.0776e-05,5.5316
4.6821e-05,5.5413
6.2701e-05,5.5511
7.8418e-05,5.5609
9.397e-05,5.5707
0.00010936,5.5805
0.00012458,5.5903
0.00013964,5.6001
0.00015453,5.6098
0.00016926,5.6196
0.00018382,5.6294
0.00019822,5.6392
0.00021245,5.649
0.00022653,5.6588
0.00024044,5.6686
0.00025418,5.6784
0.00026777,5.6881
0.0002812,5.6979
0.00029446,5.7077
0.00030757,5.7175
0.00032052,5.7273
0.00033331,5.7371
0.00034594,5.7469
0.00035842,5.7567
0.00037074,5.7664
0.00038291,5.7762
0.00039493,5.786
0.00040679,5.7958
0.00041851,5.8056
0.00043007,5.8154
0.00044149,5.8252
0.00045276,5.8349
0.00046388,5.8447
0.00047486,5.8545
0.00048569,5.8643
0.00049638,5.8741
0.00050692,5.8839
0.00051733,5.8937
0.0005276,5.9035
0.00053772,5.9132
0.00054771,5.923
0.00055757,5.9328
0.00056728,5.9426
0.00057686,5.9524
0.00058631,5.9622
0.00059563,5.972
0.00060482,5.9817
0.00061387,5.9915
0.0006228,6.0013
0.0006316,6.0111
0.00064027,6.0209
0.00064881,6.0307
0.00065723,6.0405
0.00066553,6.0503
0.00067371,6.06
0.00068176,6.0698
0.00068969,6.0796
0.0006975,6.0894
0.00070519,6.0992
0.00071277,6.109
0.00072022,6.1188
0.00072756,6.1286
0.00073479,6.1383
0.0007419,6.1481
0.0007489,6.1579
0.00075579,6.1677
0.00076256,6.1775
0.00076923,6.1873
0.00077578,6.1971
0.00078223,6.2068
0.00078856,6.2166
0.00079479,6.2264
0.00080092,6.2362
0.00080694,6.246
0.00081285,6.2558
0.00081866,6.2656
0.00082436,6.2754
0.00082997,6.2851
0.00083547,6.2949
0.00084087,6.3047
0.00084617,6.3145
0.00085137,6.3243
0.00085647,6.3341
0.00086147,6.3439
0.00086637,6.3537
0.00087118,6.3634
0.00087589,6.3732
0.00088051,6.383
0.00088503,6.3928
0.00088945,6.4026
0.00089378,6.4124
0.00089802,6.4222
0.00090217,6.4319
0.00090622,6.4417
0.00091018,6.4515
0.00091405,6.4613
0.00091783,6.4711
0.00092152,6.4809
0.00092511,6.4907
0.00092862,6.5005
0.00093204,6.5102
0.00093538,6.52
0.00093862,6.5298
0.00094178,6.5396
0.00094485,6.5494
0.00094783,6.5592
0.00095073,6.569
0.00095354,6.5787
0.00095626,6.5885
0.0009589,6.5983
0.00096146,6.6081
0.00096393,6.6179
0.00096631,6.6277
0.00096862,6.6375
0.00097084,6.6473
0.00097297,6.657
0.00097503,6.6668
0.000977,6.6766
0.00097888,6.6864
0.00098069,6.6962
0.00098241,6.706
0.00098406,6.7158
0.00098562,6.7256
0.0009871,6.7353
0.00098849,6.7451
0.00098981,6.7549
0.00099105,6.7647
0.00099221,6.7745
0.00099328,6.7843
0.00099428,6.7941
0.00099519,6.8038
0.00099603,6.8136
0.00099678,6.8234
0.00099746,6.8332
0.00099805,6.843
0.00099857,6.8528
0.00099901,6.8626
0.00099936,6.8724
0.00099964,6.8821
0.00099984,6.8919
0.00099996,6.9017
